"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","x","sameland","signif"
"204","10-1-3","9-2-4",300,120,0.25,13,19,-0.32614002651259,0.627840792790717,NA,FALSE,FALSE
"205","10-1-3","6-1-3",300,120,0.25,21,14,1.64991582276861,0.0494800770097029,NA,FALSE,TRUE
"206","10-1-3","3-1-6",300,120,0.25,20,7,0.663940002206986,0.253364356136027,NA,FALSE,FALSE
"207","10-1-3","10-1-4",300,120,0.25,11,20,0.412861411922385,0.339854077174246,NA,FALSE,FALSE
"208","10-1-3","6-1-4",300,120,0.25,12,19,0.162221421130763,0.435565745798579,NA,FALSE,FALSE
"209","10-1-3","7-2-1",300,120,0.25,11,19,0.537955864181605,0.295303759716297,NA,FALSE,FALSE
"210","10-1-3","7-1-4",300,120,0.25,17,4,-0.358248860415919,0.639921457460684,NA,FALSE,FALSE
"211","10-1-3","10-1-5",300,120,0.25,12,21,0.449088713139072,0.32668383109995,NA,FALSE,FALSE
"212","10-1-3","8-2-4",300,120,0.25,11,16,-0.690849279707757,0.755169868491429,NA,FALSE,FALSE
"213",NA,NA,300,120,0.25,NA,NA,NA,NA,NA,FALSE,NA
"214","10-1-3","2-2-4",300,120,0.25,17,16,-1.22474487139159,0.889664319040077,NA,FALSE,FALSE
"215","10-1-3","2-1-1",300,120,0.25,11,20,-0.165144564768954,0.565584901537343,NA,FALSE,FALSE
"216","10-1-3","5-2-1",300,120,0.25,19,16,-1.19207912135854,0.883384888608908,NA,FALSE,FALSE
"217","10-1-3","4-1-6",300,120,0.25,18,14,1.63343492925481,0.0511887779053254,NA,FALSE,FALSE
"218","10-1-3","9-1-6",300,120,0.25,7,18,0.544704779401922,0.292978288597326,NA,FALSE,FALSE
"219","10-1-3","2-1-6",300,120,0.25,8,17,0.349531036821278,0.36334533716652,NA,FALSE,FALSE
"220","10-1-3","2-1-5",300,120,0.25,2,19,-0.958467676597046,0.831086508416971,NA,FALSE,FALSE
"221","10-1-3","8-2-1",300,120,0.25,13,20,1.84219031545903,0.0327236582705464,NA,FALSE,TRUE
"222","10-1-3","6-1-2",300,120,0.25,13,20,0.921095157729515,0.178500374065069,NA,FALSE,FALSE
"223","10-1-3","3-1-3",300,120,0.25,20,7,0.608611668689737,0.271390934114415,NA,FALSE,FALSE
"224","10-1-3","8-2-6",300,120,0.25,16,20,-1.52811489592083,0.936757993160141,NA,FALSE,FALSE
"225","10-1-3","3-1-4",300,120,0.25,7,16,1.40312152004023,0.0802903024689965,NA,FALSE,FALSE
"226","10-1-3","1-2-2",300,120,0.25,11,10,1.33793970141711,0.0904580469151611,NA,FALSE,FALSE
"227","10-1-3","4-2-6",300,120,0.25,18,13,0.240192230707631,0.405090618205237,NA,FALSE,FALSE
"228","10-1-3","4-1-5",300,120,0.25,8,17,0.815572419249648,0.207372364678142,NA,FALSE,FALSE
"229","10-1-3","8-1-5",300,120,0.25,19,12,-0.527219618674978,0.700979456861711,NA,FALSE,FALSE
"230","10-1-3","4-2-2",300,120,0.25,4,17,0.895622151039798,0.185227300519297,NA,FALSE,FALSE
"231","10-1-3","1-2-3",300,120,0.25,19,21,2.09900730163129,0.0179081285420739,NA,FALSE,TRUE
"232","10-1-3","5-2-6",300,120,0.25,17,7,2.00058814881436,0.0227183958962492,NA,FALSE,TRUE
"233","10-1-3","9-2-6",300,120,0.25,14,14,-0.5973198408382,0.724853069871983,NA,FALSE,FALSE
"234","10-1-3","8-1-2",300,120,0.25,10,19,0.504714614515236,0.306879647418888,NA,FALSE,FALSE
"235","10-1-3","1-2-6",300,120,0.25,16,5,0.990867388613725,0.160875169119446,NA,FALSE,FALSE
"236","10-1-3","1-2-4",300,120,0.25,20,13,-0.552657094637709,0.709750880903208,NA,FALSE,FALSE
"237","10-1-3","5-1-6",300,120,0.25,17,10,-1.80754720291236,0.964661499097711,NA,FALSE,FALSE
"238","2-1-2","10-2-5",300,120,0.25,10,17,0.45188680072809,0.325675266857767,NA,FALSE,FALSE
"239","2-1-2","6-2-6",300,120,0.25,20,9,-0.89566858950296,0.81478510447572,NA,FALSE,FALSE
"240","2-1-2","5-2-2",300,120,0.25,18,17,1.18817705157201,0.117381831413835,NA,FALSE,FALSE
"241","2-1-2","7-1-1",300,120,0.25,19,17,0.42778176530188,0.334405006964669,NA,FALSE,FALSE
"242","2-1-2","3-1-5",300,120,0.25,18,15,0.506171068243531,0.306368281726556,NA,FALSE,FALSE
"243","2-1-2","2-2-3",300,120,0.25,16,17,-1.47689822726633,0.930148539892354,NA,FALSE,FALSE
